Symbol,Date,High,Low,Open,Close,Volume
UNI,2021-02-05,22.27496047,19.7958161,20.13979263,21.18557362,1243281251.73
UNI,2021-02-06,21.58681436,19.27298213,21.17759015,19.30009871,1073623433.61
UNI,2021-02-07,19.62639033,17.16372284,19.28233981,18.68686418,1078369272.13
UNI,2021-02-08,20.11274239,18.18270635,18.67070506,19.34528104,1100318951.96
UNI,2021-02-09,19.91466478,18.93742169,19.35104569,19.53385822,822779049.43
UNI,2021-02-10,22.36044886,19.52215217,19.52215217,20.74179976,1513117186.1
UNI,2021-02-11,21.91075108,20.20966082,20.72442852,21.55499681,940200134.73
UNI,2021-02-12,23.59542092,21.26839055,21.54099402,22.74602037,1324482438.57
UNI,2021-02-13,23.47135175,21.33660901,22.73182984,21.80675402,969494115.63
UNI,2021-02-14,22.57197154,20.83055951,21.80632309,20.93077401,782187072.01
UNI,2021-02-15,21.47204271,17.62528326,20.90059012,20.06204541,1274415765.77
UNI,2021-02-16,21.28141725,19.48818758,20.04433603,20.45751915,881473850.98
UNI,2021-02-17,21.73776678,19.26185061,20.46384746,21.4885262,855158976.22
UNI,2021-02-18,22.23485347,20.66959575,21.48812078,21.16178597,593118926.01
UNI,2021-02-19,21.49894622,19.43957018,21.18318247,20.07491187,767599935.75
UNI,2021-02-20,32.63268288,19.56889333,20.07264407,29.14038501,4080070578.35
UNI,2021-02-21,31.94686579,28.02164539,28.91055093,28.82971549,2165245356.33
UNI,2021-02-22,28.98948535,22.42612593,28.8161297,27.71704643,2088659957.65
UNI,2021-02-23,27.74392619,18.53455176,27.70821339,24.5766447,2670108296.19
UNI,2021-02-24,27.28932,23.15284514,24.6518799,25.25514648,1423106271.48
UNI,2021-02-25,26.83770933,23.2711704,25.24555163,23.2711704,984151754.43
UNI,2021-02-26,25.12183044,21.10539996,23.4163051,23.07451171,1101820829.2
UNI,2021-02-27,24.72790103,22.436401,23.09899106,23.45471967,761796612.62
UNI,2021-02-28,24.05384549,20.62916911,23.50802716,22.18955961,901637422.6
UNI,2021-03-01,25.45311359,22.14498919,22.21850339,25.44464301,839066478.44
UNI,2021-03-02,27.3514732,24.64336647,25.49113876,25.60691279,1232183265.34
UNI,2021-03-03,27.57000063,25.35511535,25.58643799,25.4664093,754004617.58
UNI,2021-03-04,29.66740711,24.81820211,25.42898931,28.26248115,1805032641.18
UNI,2021-03-05,28.72995411,25.953621,28.25119141,28.34505432,1189024358.83
UNI,2021-03-06,28.94862116,27.23840186,28.31118206,28.477107,668584460.07
UNI,2021-03-07,34.76778027,28.51609253,28.51609253,34.27825427,1593346979.08
UNI,2021-03-08,34.87341569,32.25296514,34.28323157,33.29326699,1249974446.1
UNI,2021-03-09,34.65371884,32.41237606,33.29075674,32.86460519,912214251.37
UNI,2021-03-10,33.49211143,30.45692512,32.8761837,30.9670982,776104816.82
UNI,2021-03-11,31.75115389,29.61973392,30.90843556,31.02901176,688330980.2
UNI,2021-03-12,31.88264325,29.4227941,31.04164665,31.00783836,630829033.13
UNI,2021-03-13,33.25103323,30.25435822,30.97861188,32.52656862,743952567.08
UNI,2021-03-14,33.67921074,30.7960226,32.50917028,30.7960226,558846418.29
UNI,2021-03-15,31.46309078,29.65038789,30.75414693,29.81665621,623504910.62
UNI,2021-03-16,30.01132444,28.10150726,29.83073746,29.93006336,549084934.66
UNI,2021-03-17,31.54869107,29.62311513,29.94373732,31.33999408,763515293.32
UNI,2021-03-18,31.51703497,29.81927494,31.24957883,30.02918318,408556938.71
UNI,2021-03-19,34.1387035,29.56763945,30.01091825,33.25638035,811698241.49
UNI,2021-03-20,35.12473971,31.99809705,33.32646033,32.19557077,849531036.59
UNI,2021-03-21,33.31988963,31.36582481,32.21406153,32.68374904,488482019.0
UNI,2021-03-22,35.86034031,31.85307865,32.72428047,32.96406372,1102796186.05
UNI,2021-03-23,36.4149142,30.52696548,32.92839351,31.10017847,1671747241.15
UNI,2021-03-24,31.87839182,26.06624051,31.05727705,27.59833762,1266483731.98
UNI,2021-03-25,27.88510808,25.7222887,27.43755097,26.67650097,926532572.95
UNI,2021-03-26,29.03029611,26.59673703,26.64678642,28.96528846,647332549.75
UNI,2021-03-27,29.47951123,27.81387845,28.92785701,28.13306028,507932899.54
UNI,2021-03-28,29.04605374,27.44518242,28.13580585,27.84012417,412582101.22
UNI,2021-03-29,29.62220175,27.60345075,27.84029377,29.12337236,520880675.4
UNI,2021-03-30,29.27234488,28.10792423,29.11867355,28.48761617,504391380.54
UNI,2021-03-31,28.97114856,27.02040021,28.48599791,27.98652266,560514222.53
UNI,2021-04-01,30.26821322,27.98485627,27.98485627,28.73943227,751718827.64
UNI,2021-04-02,30.20549157,28.70728344,28.73680391,30.1756456,535780413.24
UNI,2021-04-03,32.50380032,29.54443731,30.16325125,29.54988535,901722733.73
UNI,2021-04-04,31.60142166,29.30684355,29.53693598,31.06555543,457926442.94
UNI,2021-04-05,31.52869153,29.68627679,31.07190621,30.79484599,497831517.09
